time,avg_power1,avg_power2,max_power1,max_power2,min_power1,min_power2,total_power1,total_power2
0,0,0,0,0,0,0,0,0
1,115.62361570707,515.35136529361,119.9653749845,519.78596450004,110.15903018285,510.29494221882,115.62361570707,515.35136529361
2,134.27455842378,535.43059096365,139.6941712721,539.70691592729,130.22012224971,530.1404462367,134.27455842378,535.43059096365
3,154.24577386376,554.44087803399,159.7364155623,559.73852142369,150.01304643349,550.12772542795,154.24577386376,554.44087803399
4,174.5842624504,575.01774565829,179.63124491592,579.49097888335,170.22664264576,570.16838727048,174.5842624504,575.01774565829
5,194.43588112827,594.86008743661,199.99808769801,599.82071124181,190.58426688413,590.00060373265,194.43588112827,594.86008743661
6,214.95313090828,615.39153829597,219.91440371666,619.99735979252,210.08463137291,610.12820537258,214.95313090828,615.39153829597
7,235.25281290615,635.83975615204,239.69459249613,639.82345909024,230.29591081111,630.49681358537,235.25281290615,635.83975615204
8,254.95340378832,654.64218831265,259.9444003319,659.90642889097,250.19061202244,650.13557622563,254.95340378832,654.64218831265
9,275.44106335145,675.48896339547,279.81267034394,679.90287342805,270.00642664668,670.32247759207,275.44106335145,675.48896339547
10,295.13603316895,694.96115052998,299.91632722078,699.91552140146,290.159603336,690.21056712235,295.13603316895,694.96115052998
